Player,height,weight,college,born,birth_city,birth_state
Brad Lohaus,211,104,University of Iowa,1964,New Ulm,Minnesota
Derrick McKey,206,92,University of Alabama,1966,Meridian,Mississippi
Reggie Miller*,201,83,"University of California, Los Angeles",1965,Riverside,California
Andre Moore,206,97,Loyola University of Chicago,1964,Chicago,Illinois
Ron Moore,213,117,West Virginia State University,1962,New York,New York
Ronnie Murphy,196,102,Jacksonville University,1964,Dover,Delaware
Tod Murphy,206,99,"University of California, Irvine",1963,Long Beach,California
Martin Nessley,218,117,Duke University,1965,Columbus,Ohio
Ken Norman,203,97,University of Illinois at Urbana-Champaign,1964,Chicago,Illinois
Scottie Pippen*,203,95,University of Central Arkansas,1965,Hamburg,Arkansas
Olden Polynice,211,99,University of Virginia,1964,Port-au-Prince,Haiti
Richard Rellford,198,104,University of Michigan,1964,Riviera Beach,Florida
Scott Roth,203,96,University of Wisconsin,1963,Cleveland,Ohio
Brian Rowsom,206,99,University of North Carolina at Wilmington,1965,Newark,New Jersey
Kenny Smith,190,77,University of North Carolina,1965,Queens,New York
John Stroeder,208,117,University of Montana,1958,Bremerton,Washington
Mark Wade,180,72,"University of Nevada, Las Vegas",1965,Torrance,California
Milt Wagner,196,83,University of Louisville,1963,Camden,New Jersey
Jamie Waller,193,97,Virginia Union University,1964,South Boston,Virginia
Duane Washington,193,88,Middle Tennessee State University,1964,Eschwege,Germany
Chris Welp,213,111,University of Washington,1964,Delmenhorst,Germany
Clinton Wheeler,185,83,William Paterson University,1959,Neptune,New Jersey
Eric White,203,90,Pepperdine University,1965,San Francisco,California
Tony White,188,77,University of Tennessee,1965,Charlotte,North Carolina
Reggie Williams,201,86,Georgetown University,1964,Baltimore,Maryland
Nikita Wilson,203,90,Louisiana State University,1964,Pineville,Louisiana
Ricky Wilson,196,90,University of Louisville,1956,Louisville,Kentucky
Rickie Winslow,203,102,University of Houston,1964,Houston,Texas
Joe Wolf,211,104,University of North Carolina,1964,Kohler,Wisconsin
Phil Zevenbergen,208,104,University of Washington,1964,Seattle,Washington
Randy Allen,203,99,Florida State University,1965,Milton,Florida
Michael Anderson,180,83,Drexel University,1966,Philadelphia,Pennsylvania
Willie Anderson,201,86,University of Georgia,1967,Greenville,South Carolina
Ricky Berry,203,92,San Jose State University,1964,Lansing,Michigan
Anthony Bowie,198,86,University of Oklahoma,1963,Tulsa,Oklahoma
Scott Brooks,180,74,"University of California, Irvine",1965,French Camp,California
Mark Bryant,206,111,Seton Hall University,1965,Glen Ridge,New Jersey
Greg Butler,211,108,Stanford University,1966,Inglewood,California
Mike Champion,208,104,Gonzaga University,1964,Everett,Washington
Rex Chapman,193,83,University of Kentucky,1967,Bowling Green,Kentucky
Derrick Chievous,201,88,University of Missouri,1967,New York,New York
Mark Davis,198,88,Old Dominion University,1963,Chesapeake,Virginia
Vinny Del,198,88,,1963,,
Fennis Dembo,196,97,University of Wyoming,1966,Mobile,Alabama
Ledell Eackles,196,99,University of New Orleans,1966,Baton Rouge,Louisiana
Kevin Edwards,190,86,DePaul University,1965,Cleveland Heights,Ohio
Wayne Englestad,203,111,"University of California, Irvine",1966,Rosemead,California
Rolando Ferreira,216,108,University of Houston,1964,Curtiba,Brazil
Duane Ferrell,201,94,Georgia Institute of Technology,1965,Baltimore,Maryland
Anthony Frederick,201,92,Pepperdine University,1964,Los Angeles,California
Corey Gaines,190,88,Loyola Marymount University,1965,Los Angeles,California
Tom Garrick,188,83,University of Rhode Island,1966,West Warwick,Rhode Island
Ben Gillery,213,106,Georgetown University,1965,Detroit,Michigan
Orlando Graham,203,99,Auburn University at Montgomery,1965,Montgomery,Alabama
Ron Grandison,198,97,University of New Orleans,1964,Los Angeles,California
Gary Grant,190,83,University of Michigan,1965,Canton,Ohio
Harvey Grant,203,88,University of Oklahoma,1965,Augusta,Georgia
Sylvester Gray,198,104,University of Memphis,1967,Millington,Tennessee
Jeff Grayer,196,90,Iowa State University,1965,Flint,Michigan
Jack Haley,208,108,"University of California, Los Angeles",1964,Long Beach,California
Hersey Hawkins,190,86,Bradley University,1966,Chicago,Illinois
Tito Horford,216,111,University of Miami,1966,LaRomana,Dominican Republic
Avery Johnson,178,79,Southern University and A&M College,1965,New Orleans,Louisiana
Bill Jones,201,79,University of Iowa,1966,Detroit,Michigan
Shelton Jones,206,95,St. John's University,1966,Copaigue,New York
Steve Kerr,190,79,University of Arizona,1965,Beirut,Lebanon
Randolph Keys,201,88,University of Southern Mississippi,1966,Collins,Mississippi
Jerome Lane,198,104,University of Pittsburgh,1966,Akron,Ohio
Andrew Lang,211,111,University of Arkansas,1966,Pine Bluff,Arkansas
Eric Leckner,211,120,University of Wyoming,1966,Inglewood,California
Jim Les,180,74,Bradley University,1963,Niles,Illinois
Rob Lock,206,102,University of Kentucky,1966,Reedley,California
Grant Long,203,102,Eastern Michigan University,1966,Wayne,Michigan
Dan Majerle,198,97,Central Michigan University,1965,Traverse City,Michigan
Danny Manning,208,104,University of Kansas,1966,Hattiesburg,Mississippi
Vernon Maxwell,193,81,University of Florida,1965,Gainesville,Florida
Todd Mitchell,201,92,Purdue University,1966,Toledo,Ohio
Chris Morris,203,95,Auburn University,1966,Atlanta,Georgia
Richard Morton,190,86,"California State University, Fullerton",1966,San Francisco,California
Craig Neal,196,74,Georgia Institute of Technology,1964,Muncie,Indiana
Jose Ortiz,208,102,Oregon State University,1963,Albonito,Puerto Rico
Will Perdue,213,108,Vanderbilt University,1965,Melbourne,Florida
Tim Perry,206,90,Temple University,1965,Freehold,New Jersey
Dave Popson,208,99,University of North Carolina,1964,Kingston,Pennsylvania
Dominic Pressley,188,77,Boston College,1964,Washington,District of Columbia
Mitch Richmond*,196,97,Kansas State University,1965,Fort Lauderdale,Florida
Ramon Rivas,208,117,Temple University,1966,Carolina,Puerto Rico
David Rivers,183,77,University of Notre Dame,1965,Jersey City,New Jersey
Rob Rose,196,81,George Mason University,1964,Rochester,New York
Jim Rowinski,203,113,Purdue University,1961,Long Island,New York
Rony Seikaly,211,104,Syracuse University,1965,Beirut,Lebanon
Charles Shackleford,208,102,North Carolina State University,1966,Kinston,North Carolina
John Shasky,211,106,University of Minnesota,1964,Birmingham,Michigan
Brian Shaw,198,86,"University of California, Santa Barbara",1966,Oakland,California
Keith Smart,185,79,Indiana University,1964,Baton Rouge,Louisiana
Charles Smith,208,104,University of Pittsburgh,1965,Bridgeport,Connecticut
Rik Smits,224,113,Marist College,1966,Eindhoven,Netherlands
John Starks,190,81,Oklahoma State University,1965,Tulsa,Oklahoma
Everette Stephens,188,79,Purdue University,1966,Evanston,Illinois
Rod Strickland,196,90,Jacksonville University,1940,Jacksonville,Florida
Barry Sumpter,211,97,Austin Peay State University,1965,Brooklyn,Illinois
Anthony Taylor,193,79,University of Oregon,1965,Los Angeles,California
Tom Tolbert,201,106,University of Arizona,1965,Long Beach,California
Kelvin Upshaw,188,81,University of Utah,1963,Chicago,Illinois
Morlon Wiley,193,83,"California State University, Long Beach",1966,New Orleans,Louisiana
Micheal Williams,188,82,Lincoln University of Missouri,1945,Seattle,Washington
David Wood,206,102,"University of Nevada, Reno",1964,Spokane,Washington
Nick Anderson,198,92,University of Illinois at Urbana-Champaign,1968,Chicago,Illinois
Michael Ansley,201,102,University of Alabama,1967,Birmingham,Alabama
B.J. Armstrong,201,102,,1967,,
Dana Barros,180,73,Boston College,1967,Boston,Massachusetts
Kenny Battle,198,95,University of Illinois at Urbana-Champaign,1964,Aurora,Illinois
Winston Bennett,201,95,University of Kentucky,1965,Louisville,Kentucky
Mookie Blaylock,183,81,University of Oklahoma,1967,Garland,Texas
Chucky Brown,201,97,North Carolina State University,1968,New York,New York
Raymond Brown,203,99,University of Idaho,1965,Atlanta,Georgia
Stanley Brundy,198,95,DePaul University,1967,New Orleans,Louisiana
Torgeir Bryn,206,113,Texas State University,1964,Oslo,Norway
Steve Bucknall,198,97,University of North Carolina,1966,London,United Kingdom
Adrian Caldwell,203,120,Lamar University,1966,Falls County,Texas
Lanard Copeland,198,86,Georgia State University,1965,Atlanta,Georgia
Terry Davis,206,102,Virginia Union University,1967,Danville,Virginia
Byron Dinkins,185,77,University of North Carolina at Charlotte,1967,Charlotte,North Carolina
Vlade Divac,216,110,,1968,Prijepolje,Serbia
Sherman Douglas,183,81,Syracuse University,1966,Washington,District of Columbia
Terry Dozier,206,95,University of South Carolina,1966,Baltimore,Maryland
Blue Edwards,193,90,East Carolina University,1965,Washington,District of Columbia
Jay Edwards,213,102,University of Washington,1955,Seattle,Washington
Sean Elliott,203,92,University of Arizona,1968,Tucson,Arizona
Pervis Ellison,206,95,University of Louisville,1967,Savannah,Georgia
Derrick Gervin,203,90,University of Texas at San Antonio,1963,Detroit,Michigan
Greg Grant,170,63,Trenton State University,1966,Trenton,New Jersey
Scott Haffner,190,81,University of Evansville,1966,Terre Haute,Indiana
Tom Hammonds,206,97,Georgia Institute of Technology,1967,Fort Walton,Florida
Tim Hardaway,183,79,University of Texas at El Paso,1966,Chicago,Illinois
Mike Higgins,206,99,University of Northern Colorado,1967,Grand Island,Nebraska
Ed Horton,203,104,University of Iowa,1967,Springfield,Illinois
Byron Irvin,196,86,University of Missouri,1966,LaGrange,Illinois
Jaren Jackson,193,86,Georgetown University,1967,New Orleans,Louisiana
Eric Johnson,188,92,University of Nebraska,1966,Brooklyn,New York
Nate Johnston,203,95,University of Tampa,1966,Birmingham,Alabama
Shawn Kemp,208,104,Trinity Valley Community College,1969,Elkhart,Indiana
Stan Kimbrough,180,69,Xavier University,1966,Tuscaloosa,Alabama
Stacey King,211,104,University of Oklahoma,1967,Lawton,Oklahoma
Frank Kornet,206,102,Vanderbilt University,1967,Lexington,Kentucky
Jeff Lebo,188,81,University of North Carolina,1966,Carlisle,Pennsylvania
Tim Legler,193,90,La Salle University,1966,Washington,District of Columbia
Gary Leonard,216,113,University of Missouri,1967,Belleville,Illinois
Clifford Lett,190,77,University of Florida,1965,Pensacola,Florida
Todd Lichti,193,92,Stanford University,1967,Walnut Creek,California
Roy Marble,198,86,University of Iowa,1966,Flint,Michigan
Sarunas Marciulionis*,196,90,,1964,Kaunas,Lithuania
Jeff Martin,196,88,Murray State University,1967,Cherry Valley,Arkansas
Anthony Mason,201,113,Tennessee State University,1966,Miami,Florida
Bob McCann,198,110,Morehead State University,1964,Morristown,New Jersey
Mel McCants,203,108,Purdue University,1967,Chicago,Illinois
George McCloud,198,92,Florida State University,1967,Daytona Beach,Florida
Carlton McKinney,193,86,Southern Methodist University,1964,San Diego,California
Scott Meents,208,102,University of Illinois at Urbana-Champaign,1964,Kankakee,Illinois
Sam Mitchell,198,95,Mercer University,1963,Columbus,Georgia
Mike Morrison,193,88,Loyola College in Maryland,1967,Washington,District of Columbia
John Morton,190,81,Seton Hall University,1967,Bronx,New York
Dyron Nix,201,95,University of Tennessee,1967,Meridian,Mississippi
Zarko Paspalj,206,97,,1966,Pljevlja,Montenegro
Kenny Payne,203,88,University of Louisville,1966,Laurel,Mississippi
Drazen Petrovic*,196,88,,1964,Sibenik,Croatia
Brian Quinnett,203,106,Washington State University,1966,Pullman,Washington
J.R. Reid,203,106,,1966,,
Glen Rice,201,97,University of Michigan,1967,Jacksonville,Arkansas
Pooh Richardson,185,81,"University of California, Los Angeles",1966,Philadelphia,Pennsylvania
Clifford Robinson,206,99,University of Southern California,1960,Oakland,California
David Robinson*,216,106,United States Naval Academy,1965,Key West,Florida
Doug Roth,211,115,University of Tennessee,1967,Knoxville,Tennessee
Donald Royal,203,95,University of Notre Dame,1966,New Orleans,Louisiana
Delaney Rudd,188,81,Wake Forest University,1962,Halifax,North Carolina
Jeff Sanders,203,102,Georgia Southern University,1966,Augusta,Georgia
Dexter Shouse,188,90,University of South Alabama,1963,Terre Haute,Indiana
Michael Smith,208,102,Brigham Young University,1965,Rochester,New York
Jay Taylor,190,86,Eastern Illinois University,1967,Aurora,Illinois
Leonard Taylor,203,99,University of California,1966,Los Angeles,California
Henry Turner,188,88,University of Nebraska,1938,,
Gary Voce,206,108,University of Notre Dame,1965,Jamaica,
Alexander Volkov,208,98,,1964,Omsk,Russia
Doug West,198,90,Villanova University,1967,Altoona,Pennsylvania
Randy White,203,108,Louisiana Tech University,1967,Shreveport,Louisiana
Mike Williams,188,82,Lincoln University of Missouri,1945,Seattle,Washington
Haywoode Workman,188,81,Oral Roberts University,1966,Charlotte,North Carolina
Alaa Abdelnaby,208,108,Duke University,1968,Cairo,Egypt
Mahmoud Abdul-Rauf,188,83,"University of California, Los Angeles",1942,Wilmington,Delaware
Keith Askins,201,89,University of Alabama,1967,Athens,Alabama
Milos Babic,213,108,Tennessee Technological University,1968,Kraljevo,Serbia
Cedric Ball,203,95,University of North Carolina at Charlotte,1968,Worcester,Massachusetts
Lance Blanks,193,86,University of Texas at Austin,1966,Del Rio,Texas
Anthony Bonner,203,97,Saint Louis University,1968,St. Louis,Missouri
Dee Brown,185,72,Jacksonville University,1968,Jacksonville,Florida
Jud Buechler,198,99,University of Arizona,1968,San Diego,California
Matt Bullard,208,97,University of Iowa,1967,Des Moines,Iowa
Willie Burton,203,95,University of Minnesota,1968,Detroit,Michigan
Rick Calloway,198,81,University of Kansas,1966,Cincinnati,Ohio
Elden Campbell,211,97,Clemson University,1968,Los Angeles,California
Duane Causwell,213,108,Temple University,1968,Queens Village,New York
Cedric Ceballos,198,86,"California State University, Fullerton",1969,Maui,Hawaii
Richard Coffey,198,96,University of Minnesota,1965,Aurora,North Carolina
Derrick Coleman,208,104,Syracuse University,1967,Mobile,Alabama
Bimbo Coles,185,81,Virginia Polytechnic Institute and State University,1968,Covington,Virginia
Anthony Cook,206,92,University of Arizona,1967,Los Angeles,California
Tony Dawson,201,97,Florida State University,1967,Kinston,North Carolina
Mario Elie,196,95,American International College,1963,New York,New York
A.J. English,196,95,,1963,,
Danny Ferry,208,104,Duke University,1966,Hyattsville,Maryland
Greg Foster,211,108,University of Texas at El Paso,1968,Oakland,California
Tate George,196,86,University of Connecticut,1968,Newark,New Jersey
Kendall Gill,196,88,University of Illinois at Urbana-Champaign,1968,Chicago,Illinois
Gerald Glass,196,100,University of Mississippi,1967,Greenwood,Mississippi
Dan Godfread,208,113,University of Evansville,1967,Fort Wayne,Indiana
Jim Grandholm,213,106,University of South Florida,1960,Elkhart,Indiana
Tony Harris,190,86,University of New Orleans,1967,Monroe,Louisiana
Steve Henson,180,80,Kansas State University,1968,Junction City,Kansas
Sean Higgins,206,92,University of Michigan,1968,Los Angeles,California
Tyrone Hill,206,108,Xavier University,1968,Cincinnati,Ohio
Dave Jamerson,196,86,Ohio University,1967,Clarksburg,West Virginia
Henry James,203,99,St. Mary's University,1965,Centreville,Alabama
Les Jepsen,213,107,University of Iowa,1967,Bowbells,North Dakota
Alec Kessler,211,104,University of Georgia,1967,Minneapolis,Minnesota
Bo Kimble,193,86,Loyola Marymount University,1966,Philadelphia,Pennsylvania
Negele Knight,185,79,University of Dayton,1967,Detroit,Michigan
Kurk Lee,190,86,Towson University,1967,Baltimore,Maryland
Marcus Liberty,203,92,University of Illinois at Urbana-Champaign,1968,Chicago,Illinois
Ian Lockhart,203,108,University of Tennessee,1967,Nassau,Bahamas
Tony Massenburg,206,99,University of Maryland,1967,Sussex,Virginia
Travis Mays,188,86,University of Texas at Austin,1968,Ocala,Florida
Terry Mills,208,104,University of Michigan,1967,Romulus,Michigan
Chris Munk,206,102,University of Southern California,1967,San Francisco,California
Jerrod Mustaf,208,107,University of Maryland,1969,Whiteville,North Carolina
Dan O'Sullivan,208,113,Fordham University,1968,Bronx,New York
Alan Ogg,218,108,University of Alabama at Birmingham,1967,Lancaster,Ohio
Brian Oliver,193,95,Georgia Institute of Technology,1968,Chicago,Illinois
Gerald Paddio,201,92,"University of Nevada, Las Vegas",1965,Lafayette,Louisiana
Walter Palmer,216,97,Dartmouth College,1968,Ithaca,New York
Gary Payton*,193,81,Oregon State University,1968,Oakland,California
Kevin Pritchard,190,81,University of Kansas,1967,Bloomington,Indiana
Larry Robinson,190,81,Centenary College of Louisiana,1968,Bossier City,Louisiana
Rumeal Robinson,188,88,University of Michigan,1966,Mandeville,Jamaica
Steve Scheffler,206,113,Purdue University,1967,Grand Rapids,Michigan
Dwayne Schintzius,216,117,University of Florida,1968,Brandon,Florida
Dennis Scott,203,103,Georgia Institute of Technology,1968,Hagerstown,Maryland
Lionel Simmons,201,95,La Salle University,1968,Philadelphia,Pennsylvania
Tony Smith,201,95,,1968,,
Felton Spencer,213,120,University of Louisville,1968,Louisville,Kentucky
Irving Thomas,203,102,Florida State University,1966,Brooklyn,New York
Andy Toolson,198,95,Brigham Young University,1966,Chicago,Illinois
Loy Vaught,206,104,University of Michigan,1968,Grand Rapids,Michigan
Stojko Vrankovic,218,117,,1964,Drnis,Croatia
Jayson Williams,206,108,St. John's University,1968,Ritter,South Carolina
Kenny Williams,188,79,St. John's University,1961,New York,New York
Scott Williams,208,104,University of North Carolina,1968,Hacienda Heights,California
Trevor Wilson,201,95,"University of California, Los Angeles",1968,Los Angeles,California
Kennard Winchester,196,95,Averett University,1966,Chestertown,Maryland
Howard Wright,190,83,Austin Peay State University,1947,Louisville,Kentucky
A.J. Wynder,190,83,,1947,,
Victor Alexander,206,120,Iowa State University,1969,Detroit,Michigan
Kenny Anderson,183,76,Georgia Institute of Technology,1970,Queens,New York
Greg Anthony,183,79,"University of Nevada, Las Vegas",1967,Las Vegas,Nevada
Stacey Augmon,203,92,"University of Nevada, Las Vegas",1968,Pasadena,California
Isaac Austin,208,115,Arizona State University,1969,Gridley,California
Steve Bardo,196,86,University of Illinois at Urbana-Champaign,1968,Henderson,Kentucky
David Benoit,203,99,University of Alabama,1968,Lafayette,Louisiana
Terrell Brandon,180,81,University of Oregon,1970,Portland,Oregon
Kevin Brooks,198,90,University of Louisiana at Lafayette,1969,Beaufort,South Carolina
Myron Brown,190,81,Slippery Rock University of Pennsylvania,1969,McKees Rocks,Pennsylvania
Randy Brown,203,99,University of Idaho,1965,Atlanta,Georgia
Demetrius Calip,185,74,University of Michigan,1969,Flint,Michigan
Pete Chilcutt,208,104,University of North Carolina,1968,Sumter,South Carolina
Marty Conlon,208,101,Providence College,1968,Bronx,New York
Tom Copa,208,124,Marquette University,1964,Robbinsdale,Minnesota
Chris Corchiani,183,83,North Carolina State University,1968,Coral Gables,Florida
Corey Crowder,196,97,Kentucky Wesleyan College,1969,Carrollton,Georgia
Dale Davis,211,104,Clemson University,1969,Toccoa,Georgia
Bison Dele,206,106,University of Arizona,1969,Fresno,California
Patrick Eddie,211,108,University of Mississippi,1967,Milwaukee,Wisconsin
LeRon Ellis,208,95,St. John's University,1940,Far Rockaway,New York
Rick Fox,201,104,University of North Carolina,1969,Toronto,Canada
Chris Gatling,208,99,Old Dominion University,1967,Elizabeth,New Jersey
Paul Graham,198,90,Ohio University,1967,Philadelphia,Pennsylvania
Sean Green,196,95,Iona College,1970,Santa Monica,California
Carl Herrera,206,97,University of Houston,1966,Trinidad,Trinidad and Tobago
Donald Hodge,213,104,Temple University,1969,Washington,District of Columbia
Brian Howard,198,92,North Carolina State University,1967,Winston-Salem,North Carolina
Cedric Hunter,183,81,University of Kansas,1965,Wichita Falls,Texas
Mike Iuzzolino,178,79,Saint Francis University,1968,Altoona,Pennsylvania
Rich King,218,117,University of Nebraska,1969,Lincoln,Nebraska
Doug Lee,196,90,Purdue University,1964,Washington,Illinois
Luc Longley,218,120,University of New Mexico,1969,Melbourne,Australia
Kevin Lynch,196,88,University of Minnesota,1968,Bloomington,Minnesota
Mark Macon,196,83,Temple University,1969,Saginaw,Michigan
Tharon Mayes,190,79,Florida State University,1968,New Haven,Connecticut
Rodney Monroe,190,83,North Carolina State University,1968,Baltimore,Maryland
Tracy Moore,193,90,University of Tulsa,1965,Oklahoma City,Oklahoma
Eric Murdock,185,86,Providence College,1968,Somerville,New Jersey
Dikembe Mutombo*,218,111,Georgetown University,1966,Kinshasa,Democratic Republic of the Congo
Jimmy Oliver,196,92,Purdue University,1969,Menifee,Arkansas
Billy Owens,203,99,Syracuse University,1969,Carlisle,Pennsylvania
Keith Owens,201,102,"University of California, Los Angeles",1969,San Francisco,California
Robert Pack,188,81,University of Southern California,1969,New Orleans,Louisiana
Elliot Perry,183,68,University of Memphis,1969,Memphis,Tennessee
Bobby Phills,196,95,Southern University and A&M College,1969,Baton Rouge,Louisiana
Mark Randall,203,106,University of Kansas,1967,Edina,Minnesota
Stanley Roberts,213,129,Louisiana State University,1970,Hopkins,South Carolina
Doug Smith,188,86,University of Minnesota,1920,Minnesota,
LaBradford Smith,203,97,Alcorn State University,1958,Rolling Fork,Mississippi
Steve Smith,201,90,Michigan State University,1969,Highland Park,Michigan
Larry Stewart,203,99,Coppin State University,1968,Philadelphia,Pennsylvania
Derek Strong,203,99,Xavier University,1968,Los Angeles,California
Lamont Strothers,193,86,Christopher Newport University,1968,Nansemond County,Virginia
Greg Sutton,188,77,Oral Roberts University,1967,Santa Cruz,California
Carl Thomas,193,79,Eastern Michigan University,1969,Dayton,Ohio
Charles Thomas,190,79,Eastern Michigan University,1969,Dayton,Ohio
Stephen Thompson,193,83,Syracuse University,1968,Los Angeles,California
John Turner,203,111,Phillips University,1967,Washington,District of Columbia
Joao Vianna,206,97,,1966,Trabajara,Brazil
Eric Anderson,206,99,Indiana University,1970,Chicago,Illinois
Anthony Avent,206,106,Seton Hall University,1969,Rocky Mount,North Carolina
Jon Barry,193,88,Georgia Institute of Technology,1969,Oakland,California
Tony Bennett,183,79,University of Wisconsin-Green Bay,1969,Green Bay,Wisconsin
Alex Blackwell,198,113,Monmouth University,1970,Toms River,New Jersey
Ricky Blanton,201,97,Louisiana State University,1966,Miami,Florida
Walter Bond,196,90,University of Minnesota,1969,Chicago,Illinois
Dexter Cambridge,201,101,University of Texas at Austin,1970,Eleuthra,Bahamas
Doug Christie,198,90,Pepperdine University,1970,Seattle,Washington
Duane Cooper,185,83,University of Southern California,1969,Benton Harbor,Michigan
Joe Courtney,203,106,University of Southern Mississippi,1969,Jackson,Mississippi
John Crotty,185,83,University of Virginia,1969,Orange,New Jersey
Radisav Curcic,208,124,,1965,Cacak,Serbia
Lloyd Daniels,201,92,Mount San Antonio College,1967,Brooklyn,New York
Hubert Davis,196,83,University of North Carolina,1970,Winston-Salem,North Carolina
Todd Day,198,85,University of Arkansas,1970,Decatur,Illinois
Richard Dumas,190,77,Northeastern State University,1970,,
Pat Durham,201,95,Colorado State University,1967,Dallas,Texas
LaPhonso Ellis,203,108,University of Notre Dame,1970,East St. Louis,Illinois
Matt Geiger,213,110,Georgia Institute of Technology,1969,Salem,Massachusetts
Litterial Green,185,83,University of Georgia,1970,Pascagoula,Mississippi
Tom Gugliotta,208,108,North Carolina State University,1969,Huntington Station,New York
Jay Guidinger,208,115,University of Minnesota Duluth,1969,Milwaukee,Wisconsin
Robert Horry,206,99,University of Alabama,1970,Andalusia,Alabama
Byron Houston,196,113,Oklahoma State University,1969,Watonga,Kansas
Stephen Howard,206,102,DePaul University,1970,Dallas,Texas
Jim Jackson,198,99,Ohio State University,1970,Toledo,Ohio
Keith Jennings,170,72,East Tennessee State University,1968,Culpepper,Virginia
Dave Johnson,201,95,Syracuse University,1970,Morgan City,Louisiana
Thomas Jordan,208,99,Oklahoma State University,1968,Baltimore,Maryland
Adam Keefe,206,104,Stanford University,1970,Irvine,California
Christian Laettner,211,106,Duke University,1969,Angola,New York
Sam Mack,201,99,University of Houston,1970,Chicago,Illinois
Don MacLean,208,106,"University of California, Los Angeles",1970,Palo Alto,California
Marlon Maxey,203,113,University of Texas at El Paso,1969,Chicago,Illinois
Lee Mayberry,185,78,University of Arkansas,1970,Tulsa,Oklahoma
Oliver Miller,206,127,University of Arkansas,1970,Fort Worth,Texas
Harold Miner,196,95,University of Southern California,1971,Inglewood,California
Isaiah Morris,203,103,University of Arkansas,1969,Richmond,Virginia
Alonzo Mourning*,208,108,Georgetown University,1970,Chesapeake,Virginia
Tracy Murray,201,102,"University of California, Los Angeles",1971,Los Angeles,California
Melvin Newbern,193,90,University of Minnesota,1967,Toledo,Ohio
Shaquille O'Neal*,216,147,Louisiana State University,1972,Newark,New Jersey
Matt Othick,188,74,University of Arizona,1969,Clovis,New Mexico
Doug Overton,190,86,La Salle University,1969,Philadelphia,Pennsylvania
Anthony Peeler,193,94,University of Missouri,1969,Kansas City,Missouri
Brent Price,185,74,University of Oklahoma,1968,Shawnee,Oklahoma
Anthony Pullard,208,111,McNeese State University,1966,DeQuincy,Louisiana
Sean Rooks,208,113,University of Arizona,1969,New York,New York
Malik Sealy,203,86,St. John's University,1970,Bronx,New York
Chris Smith,208,104,University of Pittsburgh,1965,Bridgeport,Connecticut
Reggie Smith,208,108,Texas Christian University,1970,San Jose,California
Andre Spencer,198,95,Northern Arizona University,1964,Stockton,California
Elmore Spencer,213,122,"University of Nevada, Las Vegas",1969,Atlanta,Georgia
Latrell Sprewell,196,86,University of Alabama,1970,Milwaukee,Wisconsin
Barry Stevens,196,88,Iowa State University,1963,Flint,Michigan
Bryant Stith,196,94,University of Virginia,1970,Emporia,Virginia
Gundars Vetra,198,88,,1967,Ventspils,Latvia
Clarence Weatherspoon,198,108,University of Southern Mississippi,1970,Crawford,Mississippi
Marcus Webb,206,115,University of Alabama,1970,Montgomery,Alabama
Robert Werdann,211,113,St. John's University,1970,Sunnyside,New York
Corey Williams,188,86,Oklahoma State University,1970,Twiggs,Georgia
Lorenzo Williams,206,90,Stetson University,1969,Ocala,Florida
Walt Williams,193,88,Indiana University,1923,,
Randy Woods,178,83,La Salle University,1970,Philadelphia,Pennsylvania
Gary Alexander,201,108,University of South Florida,1969,Jacksonville,Florida
Vin Baker,211,105,University of Hartford,1971,Lake Wales,Florida
Corie Blount,206,108,University of Cincinnati,1969,Monrovia,California
Shawn Bradley,229,106,Brigham Young University,1972,Landstuhl,Germany
P.J. Brown,229,106,,1972,,
Evers Burns,203,117,University of Maryland,1971,Baltimore,Maryland
Scott Burrell,201,98,University of Connecticut,1971,New Haven,Connecticut
Mitchell Butler,188,77,University of Memphis,1946,Memphis,Tennessee
Sam Cassell,190,83,Florida State University,1969,Baltimore,Maryland
Calbert Cheaney,201,94,Indiana University,1971,Evansville,Indiana
Michael Curry,196,95,Georgia Southern University,1968,Anniston,Alabama
Antonio Davis,206,97,University of Texas at El Paso,1968,Oakland,California
Brian Davis,190,81,University of Maryland,1955,Monaca,Pennsylvania
Terry Dehere,188,86,Seton Hall University,1971,New York,New York
Dell Demps,190,92,University of the Pacific,1970,Long Beach,California
Acie Earl,208,108,University of Iowa,1970,Peoria,Illinois
Bill Edwards,203,97,Wright State University,1971,Middletown,Ohio
Doug Edwards,201,99,Florida State University,1971,Miami,Florida
Harold Ellis,196,90,Morehouse College,1970,Atlanta,Georgia
Alphonso Ford,185,86,Mississippi Valley State University,1971,Greenwood,Mississippi
Chad Gallagher,208,115,Creighton University,1969,Rockford,Illinois
Andrew Gaze,201,92,Seton Hall University,1965,Melbourne,Australia
Ricky Grace,185,81,University of Oklahoma,1967,Dallas,Texas
Greg Graham,193,78,Indiana University,1970,Indianapolis,Indiana
Josh Grant,206,101,University of Utah,1967,Salt Lake City,Utah
Andres Guibert,208,102,,1968,Havana,Cuba
Geert Hammink,213,118,Louisiana State University,1969,Didam,Netherlands
Anfernee Hardaway,201,88,University of Memphis,1971,Memphis,Tennessee
Lucious Harris,196,86,"California State University, Long Beach",1970,Los Angeles,California
Antonio Harvey,211,102,Pfeiffer University,1970,Pascagoula,Mississippi
Scott Haskin,211,113,Oregon State University,1970,Riverside,California
Skeeter Henry,201,86,University of Oklahoma,1967,Dallas,Texas
Allan Houston,198,90,University of Tennessee,1971,Louisville,Kentucky
